candidate,review_threshold,block_threshold,block_evidence,evidence_set,trust_suppression,campaign_review_increment,campaign_block_increment,attack_devices,legitimate_devices,attack_review_or_higher_recall,attack_block_recall,attack_never_detected,legitimate_review_or_higher_rate,legitimate_block_rate,legitimate_reviewed_devices,legitimate_blocked_devices,median_first_review_attempt,p90_first_review_attempt,median_first_block_attempt,p90_first_block_attempt,cumulative_attack_detection,eligible,constraint_failures
r0.75_b0.9_e1_v1_like_trust-none_camp0.0,0.75,0.9,1,v1_like,none,0.0,0.0,468,2133,0.8739,0.5705,59,0.053,0.0089,113,19,4.0,6.199999999999989,7.0,12.0,"{'1': {'review_or_higher_rate': 0.0449, 'block_rate': 0.0}, '2': {'review_or_higher_rate': 0.1987, 'block_rate': 0.0043}, '3': {'review_or_higher_rate': 0.2927, 'block_rate': 0.0684}, '5': {'review_or_higher_rate': 0.7244, 'block_rate': 0.1389}}",True,
r0.75_b0.9_e1_v1_like_trust-moderate_camp0.0,0.75,0.9,1,v1_like,moderate,0.0,0.0,468,2133,0.8739,0.5556,59,0.053,0.0089,113,19,4.0,6.199999999999989,7.0,12.0,"{'1': {'review_or_higher_rate': 0.0449, 'block_rate': 0.0}, '2': {'review_or_higher_rate': 0.1987, 'block_rate': 0.0043}, '3': {'review_or_higher_rate': 0.2927, 'block_rate': 0.0684}, '5': {'review_or_higher_rate': 0.7244, 'block_rate': 0.1389}}",True,
r0.75_b0.9_e1_v2_long_horizon_trust-none_camp0.0,0.75,0.9,1,v2_long_horizon,none,0.0,0.0,468,2133,0.8739,0.5812,59,0.053,0.0089,113,19,4.0,6.199999999999989,7.0,12.0,"{'1': {'review_or_higher_rate': 0.0449, 'block_rate': 0.0}, '2': {'review_or_higher_rate': 0.1987, 'block_rate': 0.0043}, '3': {'review_or_higher_rate': 0.2927, 'block_rate': 0.0791}, '5': {'review_or_higher_rate': 0.7244, 'block_rate': 0.1496}}",True,
r0.75_b0.9_e1_v2_long_horizon_trust-moderate_camp0.0,0.75,0.9,1,v2_long_horizon,moderate,0.0,0.0,468,2133,0.8739,0.5662,59,0.053,0.0089,113,19,4.0,6.199999999999989,7.0,12.0,"{'1': {'review_or_higher_rate': 0.0449, 'block_rate': 0.0}, '2': {'review_or_higher_rate': 0.1987, 'block_rate': 0.0043}, '3': {'review_or_higher_rate': 0.2927, 'block_rate': 0.0791}, '5': {'review_or_higher_rate': 0.7244, 'block_rate': 0.1496}}",True,
r0.75_b0.9_e1_v2_full_trust-none_camp0.0,0.75,0.9,1,v2_full,none,0.0,0.0,468,2133,0.8739,0.5919,59,0.053,0.0089,113,19,4.0,6.199999999999989,7.0,12.0,"{'1': {'review_or_higher_rate': 0.0449, 'block_rate': 0.0064}, '2': {'review_or_higher_rate': 0.1987, 'block_rate': 0.047}, '3': {'review_or_higher_rate': 0.2927, 'block_rate': 0.0962}, '5': {'review_or_higher_rate': 0.7244, 'block_rate': 0.1603}}",True,
r0.75_b0.9_e1_v2_full_trust-moderate_camp0.0,0.75,0.9,1,v2_full,moderate,0.0,0.0,468,2133,0.8739,0.5769,59,0.053,0.0089,113,19,4.0,6.199999999999989,7.0,12.0,"{'1': {'review_or_higher_rate': 0.0449, 'block_rate': 0.0064}, '2': {'review_or_higher_rate': 0.1987, 'block_rate': 0.047}, '3': {'review_or_higher_rate': 0.2927, 'block_rate': 0.0962}, '5': {'review_or_higher_rate': 0.7244, 'block_rate': 0.1603}}",True,
r0.75_b0.9_e2_v1_like_trust-none_camp0.0,0.75,0.9,2,v1_like,none,0.0,0.0,468,2133,0.8739,0.4509,59,0.053,0.0089,113,19,4.0,6.199999999999989,8.0,13.0,"{'1': {'review_or_higher_rate': 0.0449, 'block_rate': 0.0}, '2': {'review_or_higher_rate': 0.1987, 'block_rate': 0.0}, '3': {'review_or_higher_rate': 0.2927, 'block_rate': 0.0043}, '5': {'review_or_higher_rate': 0.7244, 'block_rate': 0.0256}}",True,
r0.75_b0.9_e2_v1_like_trust-moderate_camp0.0,0.75,0.9,2,v1_like,moderate,0.0,0.0,468,2133,0.8739,0.4359,59,0.053,0.0089,113,19,4.0,6.199999999999989,8.0,12.700000000000017,"{'1': {'review_or_higher_rate': 0.0449, 'block_rate': 0.0}, '2': {'review_or_higher_rate': 0.1987, 'block_rate': 0.0}, '3': {'review_or_higher_rate': 0.2927, 'block_rate': 0.0043}, '5': {'review_or_higher_rate': 0.7244, 'block_rate': 0.0256}}",True,
r0.75_b0.9_e2_v2_long_horizon_trust-none_camp0.0,0.75,0.9,2,v2_long_horizon,none,0.0,0.0,468,2133,0.8739,0.5641,59,0.053,0.0089,113,19,4.0,6.199999999999989,7.0,12.0,"{'1': {'review_or_higher_rate': 0.0449, 'block_rate': 0.0}, '2': {'review_or_higher_rate': 0.1987, 'block_rate': 0.0}, '3': {'review_or_higher_rate': 0.2927, 'block_rate': 0.0556}, '5': {'review_or_higher_rate': 0.7244, 'block_rate': 0.1325}}",True,
r0.75_b0.9_e2_v2_long_horizon_trust-moderate_camp0.0,0.75,0.9,2,v2_long_horizon,moderate,0.0,0.0,468,2133,0.8739,0.5491,59,0.053,0.0089,113,19,4.0,6.199999999999989,7.0,12.0,"{'1': {'review_or_higher_rate': 0.0449, 'block_rate': 0.0}, '2': {'review_or_higher_rate': 0.1987, 'block_rate': 0.0}, '3': {'review_or_higher_rate': 0.2927, 'block_rate': 0.0556}, '5': {'review_or_higher_rate': 0.7244, 'block_rate': 0.1325}}",True,
