candidate,family,review_threshold,block_threshold,block_evidence,block_elevated_count,campaign_review_increment,campaign_block_increment,attack_devices,legitimate_devices,attack_review_or_higher_recall,attack_block_recall,attack_never_detected,legitimate_review_or_higher_rate,legitimate_block_rate,legitimate_reviewed_devices,legitimate_blocked_devices,median_first_review_attempt,p90_first_review_attempt,median_first_block_attempt,p90_first_block_attempt,eligible,constraint_failures
persistent_R0.60_B0.78_N3E1,persistent,0.6,0.78,1,3,0.0,0.0,397,1769,0.8212,0.5264,71,0.0464,0.0057,82,10,4.0,5.0,6.0,7.0,True,
persistent_R0.60_B0.78_N3E2,persistent,0.6,0.78,2,3,0.0,0.0,397,1769,0.8212,0.5264,71,0.0464,0.0057,82,10,4.0,5.0,6.0,7.0,True,
threshold_R0.60_B0.78_C0.05/0.02,threshold,0.6,0.78,0,1,0.05,0.02,397,1769,0.8212,0.5466,71,0.0452,0.0051,80,9,4.0,5.0,5.0,7.0,True,
evidence_gated_R0.60_B0.78_E2_C0.05/0.02,evidence_gated,0.6,0.78,2,1,0.05,0.02,397,1769,0.8212,0.5466,71,0.0452,0.0051,80,9,4.0,5.0,5.0,7.0,True,
evidence_gated_R0.60_B0.78_E3_C0.05/0.02,evidence_gated,0.6,0.78,3,1,0.05,0.02,397,1769,0.8212,0.539,71,0.0452,0.0051,80,9,4.0,5.0,5.0,7.0,True,
persistent_R0.60_B0.78_N2E1_C0.05/0.02,persistent,0.6,0.78,1,2,0.05,0.02,397,1769,0.8212,0.5416,71,0.0452,0.0051,80,9,4.0,5.0,5.0,7.0,True,
persistent_R0.60_B0.78_N2E2_C0.05/0.02,persistent,0.6,0.78,2,2,0.05,0.02,397,1769,0.8212,0.5416,71,0.0452,0.0051,80,9,4.0,5.0,5.0,7.0,True,
persistent_R0.60_B0.78_N3E1_C0.05/0.02,persistent,0.6,0.78,1,3,0.05,0.02,397,1769,0.8212,0.5189,71,0.0452,0.0051,80,9,4.0,5.0,6.0,7.0,True,
persistent_R0.60_B0.78_N3E2_C0.05/0.02,persistent,0.6,0.78,2,3,0.05,0.02,397,1769,0.8212,0.5189,71,0.0452,0.0051,80,9,4.0,5.0,6.0,7.0,True,
threshold_R0.60_B0.80,threshold,0.6,0.8,0,1,0.0,0.0,397,1769,0.8212,0.4987,71,0.0464,0.004,82,7,4.0,5.0,6.0,8.0,True,
evidence_gated_R0.60_B0.80_E2,evidence_gated,0.6,0.8,2,1,0.0,0.0,397,1769,0.8212,0.4987,71,0.0464,0.004,82,7,4.0,5.0,6.0,8.0,True,
evidence_gated_R0.60_B0.80_E3,evidence_gated,0.6,0.8,3,1,0.0,0.0,397,1769,0.8212,0.4962,71,0.0464,0.004,82,7,4.0,5.0,6.0,8.0,True,
persistent_R0.60_B0.80_N2E1,persistent,0.6,0.8,1,2,0.0,0.0,397,1769,0.8212,0.4962,71,0.0464,0.004,82,7,4.0,5.0,6.0,8.0,True,
persistent_R0.60_B0.80_N2E2,persistent,0.6,0.8,2,2,0.0,0.0,397,1769,0.8212,0.4962,71,0.0464,0.004,82,7,4.0,5.0,6.0,8.0,True,
persistent_R0.60_B0.80_N3E1,persistent,0.6,0.8,1,3,0.0,0.0,397,1769,0.8212,0.4861,71,0.0464,0.004,82,7,4.0,5.0,6.0,8.0,True,
persistent_R0.60_B0.80_N3E2,persistent,0.6,0.8,2,3,0.0,0.0,397,1769,0.8212,0.4861,71,0.0464,0.004,82,7,4.0,5.0,6.0,8.0,True,
threshold_R0.60_B0.80_C0.05/0.02,threshold,0.6,0.8,0,1,0.05,0.02,397,1769,0.8212,0.4836,71,0.0452,0.0034,80,6,4.0,5.0,6.0,8.0,True,
evidence_gated_R0.60_B0.80_E2_C0.05/0.02,evidence_gated,0.6,0.8,2,1,0.05,0.02,397,1769,0.8212,0.4836,71,0.0452,0.0034,80,6,4.0,5.0,6.0,8.0,True,
evidence_gated_R0.60_B0.80_E3_C0.05/0.02,evidence_gated,0.6,0.8,3,1,0.05,0.02,397,1769,0.8212,0.4811,71,0.0452,0.0034,80,6,4.0,5.0,6.0,8.0,True,
persistent_R0.60_B0.80_N2E1_C0.05/0.02,persistent,0.6,0.8,1,2,0.05,0.02,397,1769,0.8212,0.4811,71,0.0452,0.0034,80,6,4.0,5.0,6.0,8.0,True,
persistent_R0.60_B0.80_N2E2_C0.05/0.02,persistent,0.6,0.8,2,2,0.05,0.02,397,1769,0.8212,0.4811,71,0.0452,0.0034,80,6,4.0,5.0,6.0,8.0,True,
persistent_R0.60_B0.80_N3E1_C0.05/0.02,persistent,0.6,0.8,1,3,0.05,0.02,397,1769,0.8212,0.471,71,0.0452,0.0034,80,6,4.0,5.0,6.0,8.0,True,
persistent_R0.60_B0.80_N3E2_C0.05/0.02,persistent,0.6,0.8,2,3,0.05,0.02,397,1769,0.8212,0.471,71,0.0452,0.0034,80,6,4.0,5.0,6.0,8.0,True,
