device_id,label,population,attack_subtype,scenario_tag,request_index,first_request_time,review_or_higher,blocked,first_action,first_review_or_higher_request,first_block_request,requests_scored_through_first_action,authorizations_processed_before_first_action,distinct_cards_requested_through_first_action,distinct_cards_processed_before_first_action,seconds_to_first_review,seconds_to_first_block,potentially_preventable_later_requests_upper_bound
blind_20260828_dev_0000001,0,normal,,normal_standard,1,2026-07-18 06:15:40+00:00,False,False,never,,,1,1,,,,,0
blind_20260828_dev_0000002,0,normal,,normal_standard,1,2026-07-23 16:10:54+00:00,False,False,never,,,1,1,,,,,0
blind_20260828_dev_0000003,0,normal,,normal_standard,2,2026-07-07 01:09:27+00:00,False,False,never,,,2,2,,,,,0
blind_20260828_dev_0000004,0,normal,,normal_standard,1,2026-07-26 21:14:47+00:00,False,False,never,,,1,1,,,,,0
blind_20260828_dev_0000005,0,normal,,normal_standard,1,2026-07-07 10:17:28+00:00,False,False,never,,,1,1,,,,,0
blind_20260828_dev_0000006,0,normal,,normal_standard,1,2026-07-21 13:15:44+00:00,False,False,never,,,1,1,,,,,0
blind_20260828_dev_0000007,0,normal,,normal_standard,2,2026-07-27 05:17:42+00:00,False,False,never,,,2,2,,,,,0
blind_20260828_dev_0000008,0,normal,,normal_standard,1,2026-07-11 13:47:40+00:00,False,False,never,,,1,1,,,,,0
blind_20260828_dev_0000009,0,normal,,normal_standard,1,2026-07-09 02:10:40+00:00,False,False,never,,,1,1,,,,,0
blind_20260828_dev_0000010,0,normal,,normal_standard,1,2026-07-12 18:58:27+00:00,False,False,never,,,1,1,,,,,0
blind_20260828_dev_0000011,0,normal,,normal_standard,3,2026-07-13 06:41:20+00:00,False,False,never,,,3,3,,,,,0
blind_20260828_dev_0000012,0,normal,,normal_standard,1,2026-07-26 17:29:38+00:00,False,False,never,,,1,1,,,,,0
blind_20260828_dev_0000013,0,normal,,normal_standard,1,2026-07-08 19:52:08+00:00,False,False,never,,,1,1,,,,,0
blind_20260828_dev_0000014,0,normal,,normal_standard,1,2026-07-12 05:04:53+00:00,False,False,never,,,1,1,,,,,0
blind_20260828_dev_0000015,0,normal,,normal_standard,1,2026-07-10 14:24:20+00:00,False,False,never,,,1,1,,,,,0
blind_20260828_dev_0000016,0,normal,,normal_standard,1,2026-07-27 23:39:34+00:00,False,False,never,,,1,1,,,,,0
blind_20260828_dev_0000017,0,normal,,normal_standard,1,2026-07-05 19:03:36+00:00,False,False,never,,,1,1,,,,,0
blind_20260828_dev_0000018,0,normal,,normal_standard,1,2026-07-23 02:05:57+00:00,False,False,never,,,1,1,,,,,0
blind_20260828_dev_0000019,0,normal,,normal_standard,1,2026-07-20 14:46:34+00:00,False,False,never,,,1,1,,,,,0
blind_20260828_dev_0000020,0,normal,,normal_standard,1,2026-07-06 09:50:30+00:00,False,False,never,,,1,1,,,,,0
blind_20260828_dev_0000021,0,normal,,normal_standard,1,2026-07-21 13:12:42+00:00,False,False,never,,,1,1,,,,,0
blind_20260828_dev_0000022,0,normal,,normal_standard,2,2026-07-10 23:00:21+00:00,False,False,never,,,2,2,,,,,0
blind_20260828_dev_0000023,0,normal,,normal_standard,1,2026-07-29 17:08:51+00:00,False,False,never,,,1,1,,,,,0
blind_20260828_dev_0000024,0,normal,,normal_standard,1,2026-07-23 13:09:54+00:00,False,False,never,,,1,1,,,,,0
